l1,l2,alignment,wordform_l1,wordform_l2,neighbour_overlap,editdistance,k,n,Concept_ID,zipf_freq_l1,zipf_freq_l2,passes_concept_filter,passes_wiki_filter,pos_gloss,semantic_domain,nel_pos,global_semantic_density_l1,global_semantic_density_l2,local_semantic_density_l1,local_semantic_density_l2
en,av,0.1046757626210253,gap,манзил,24.0,6,100,395,Abstand::N,4.46,,True,False,Nouns,Spatial relations,N,0.1579666958399193,0.7101569023295456,62.39684485676816,280.5119764201705
en,av,0.1051265160929836,lie,гьереси,40.0,7,100,395,Lüge::N,4.82,,True,False,Nouns,Emotions and values,N,0.1878262795217702,0.7502740843769858,74.19138041109925,296.3582633289094
en,av,0.1055417818776698,bone,ракьа,39.0,5,100,395,Knochen::N,4.42,,True,False,Nouns,The body,N,0.1916021775314944,0.614183594010537,75.6828601249403,242.6025196341621
en,av,0.1063031823799089,wash,чуризе,39.0,6,100,395,waschen::V,4.39,,True,False,Verbs,Basic actions and technology,V,0.2078805522791295,0.7293785395082735,82.11281815025616,288.104523105768
en,av,0.1081993915300776,pass,бахъизе,53.0,7,100,395,vergehen::V,5.05,,True,False,Verbs,Time,V,0.1834018722122206,0.7305708876280692,72.44373952382712,288.5755006130873
en,av,0.1086198411702694,call,ахӏи,35.0,4,100,395,Ruf::N,5.5,,True,False,Nouns,Basic actions and technology,N,0.2071008181285785,0.7814206063118831,81.80482316078854,308.66113949319384
en,av,0.1098151201560662,air,гьава,25.0,5,100,395,Luft::N,5.4,,True,False,Nouns,The physical world,N,0.1626066404583949,0.4800077928345724,64.229622981066,189.6030781696561
en,av,0.1107855659834791,salt,цӏам,31.0,4,100,395,Salz::N,4.58,,True,False,Nouns,Food and drink,N,0.174780099770813,0.6923162459752521,69.03813940947114,273.46491716022456
en,av,0.1142160155565391,border,гӏорхъи,29.0,7,100,395,Grenze::N,4.77,,True,False,Nouns,Social and political relations,N,0.1580401478018657,0.7164450911925346,62.425858381736965,282.9958110210512
en,av,0.1150849989306824,forest,рохь,30.0,6,100,395,Wald::N,4.71,,True,False,Nouns,The physical world,N,0.1681321586306847,0.7177577423767529,66.41220265912045,283.51430823881736
en,av,0.1162395233660969,this,гьаб,38.0,4,100,395,dies::PRN,6.8,,True,False,Pronouns,Miscellaneous function words,PRN,0.2134955372606868,0.5019436262333546,84.33073721797129,198.2677323621751
en,av,0.116371624349713,egg,хоно,35.0,4,100,395,Ei::N,4.46,,True,False,Nouns,Food and drink,N,0.186835465378764,0.4799749864046791,73.80000882461178,189.59011962984823
